Sl. No.,Name of the States/UTs,2015-16 - Central share released,2015-16 - Expenditure,2016-17 - Central share released,2016-17 - Expenditure,2017-18 - Central share released,2017-18 - Expenditure,2018-19 (Samagra Shiksha) - Central share released [As on 31.01.2019],2018-19 (Samagra Shiksha) - Expenditure [As on 31.12.2018]
1,A & N Island,359.46,696.75,479.14,831.9,1945.53,1251.03,1399.22,808.62
2,Andhra Pradesh,66810.81,161051.54,63302.18,122115.26,70431,94919.79,85796.82,96688.63
3,Arunachal Pradesh,18179.44,29271.33,19956.64,30445.19,23022.07,34987.92,19426.93,13372.87
4,Assam,100464.64,116527.23,87652.3,106131.38,123584,138517.86,107084.99,109874.48
5,Bihar,251557.33,576225.94,270688.44,638367.43,255797,763107.95,221950.59,258672.75
6,Chandigarh,3521.81,5767.69,3333.55,5673.19,9265.5,7528.56,5436.86,6222.36
7,Chhattisgarh,62219.7,147751.88,59262.77,170229.54,67477,160100,54063.16,107545.19
8,D & N Haveli,594.91,1694.87,1068.38,1974.23,5476.54,6056.8,2634.94,1233.54
9,Daman & Diu,78.38,374.01,300,230.5,1038.57,853.78,422.87,405.21
10,Delhi,7293.8,10328.59,8306.19,11439.95,10976.9,16056.56,12509.44,16273.38
11,Goa,813.58,1585.81,869.11,1791.08,862.6,2188.6,967.92,1704.72
12,Gujarat,61563.82,182493.43,77740.5,118412.76,65046,111952.09,32278.36,87255.33
13,Haryana,34501.21,52916.29,32000.88,68265.36,36355,71296.29,57841.95,35071.99
14,Himachal Pradesh,12139.13,32526.67,12825.46,30704.71,30874,29895.16,30349.43,29783.9
15,Jammu & Kashmir,129980.55,182893.46,107250.05,125783.94,153797.98,234513.73,115170.68,115605.17
16,Jharkhand,55863.31,135591.04,50945.73,131992.15,58984.54,116924.18,67640.46,92615.82
17,Karnataka,41759.33,119636.52,54495.5,128686.02,54881.99,161776.4,52835.89,107848.7
18,Kerala,12858.86,25832.72,11316.74,32147.72,13680,44203.09,18812.94,21817.11
19,Lakshadweep,139.87,235.3,239.87,250.99,406.52,393.51,212.93,178.69
20,Madhya Pradesh,160197.85,212603.6,154455.09,266913.52,173814,278913.36,166585.31,237902.44
21,Maharashtra,41225.28,84734.46,60369.65,192206.91,64232,226473.17,62288.67,80689.74
22,Manipur,18355.46,15031.94,4405.31,14384.23,18377,20806.32,16588.44,14403.65
23,Meghalaya,16626.96,21003.75,20067,23522.18,33579.5,29152.24,13417.79,18662.73
24,Mizoram,9437.51,14382.25,10934.31,12664.43,12000.33,12883.11,8832.09,8859.71
25,Nagaland,8739.53,15943.8,10725.34,17000.91,11717,11229.79,12845.48,10087.42
26,Odisha,82081.65,134883.34,70423,156377.33,86612,186883.65,83518.08,66414.24
27,Puducherry,583.14,561.18,304.68,577.38,622.73,748.98,614.52,1249.4
28,Punjab,30003.82,65592.85,30002.69,60009.64,31665,54084.88,44243.52,24643.2
29,Rajasthan,193462.09,425030.13,182578.48,453491.19,198973,726452.68,252292.83,311584.3
30,Sikkim,4054.36,5163.87,3479.24,5015.36,5684.35,6682.54,4649.71,4827.66
31,Tamil Nadu,82111.73,141320.18,82111.3,138620.06,86644,144594.98,124607.57,123912.76
32,Telangana,21776.01,68807.25,41776.09,124582.92,44244.72,74259.25,61981.79,23637.31
33,Tripura,16956.97,19667.41,19190.95,19965.83,20220.38,26301.57,14599.32,24122.21
34,Uttar Pradesh,505434.3,1205725.47,505433.99,1458836.03,424980.68,645175.27,312580,457993
35,Uttarakhand,22588.4,38131.67,25268.98,42238.11,62499,71989.57,39237.63,24661.3
36,West Bengal,84679.41,170734.26,82185.32,173945.6,89657,164908.86,72181.86,100007.6
Total,Total,2159014.41,4422718.48,2165744.85,4885824.93,2349425.43,4678063.52,2177900.98,2636637.15
